No;Repository ;repo2docker-checker 
1;18F/identity-analysis-sandbox;Build failure
2;learn-co-students/calculating-distance-lab-data-science-pilot-test;Username
3;learn-co-students/calculating-distance-lab-ds-test-lights;Username
4;learn-co-students/calculating-distance-lab-ds-test-nikhil-steven;Username
5;learn-co-students/calculating-distance-lab-nikhil-data-science-test;Username
6;learn-co-students/calculating-distance-lab-nikhil-test-ds;Username
7;learn-co-students/conditionals-python-lab-data-science-alpha;1 failure. TypeError
8;learn-co-students/conditionals-python-lab-data-science-intro-000;1 failure. TypeError
9;learn-co-students/conditionals-python-lab-demo-machine-learning;1 failure. TypeError
10;learn-co-students/conditionals-python-readme-data-science-alpha;1 ok
11;learn-co-students/conditionals-python-readme-data-science-intro-000;1 ok 
12;learn-co-students/conditionals-python-readme-demo-machine-learning  ;1 ok
13;learn-co-students/for-loops-readme-data-science-pilot;1 ok
14;learn-co-students/map-filter-readme-data-science-alpha;1 ok
15;learn-co-students/map-readme-python-data-science-alpha;1 ok
16;learn-co-students/map-readme-python-data-science-intro-000;1 ok
17;learn-co-students/map-readme-python-demo-machine-learning;1 ok
18;learn-co-students/plotting-data-lab-data-science;1 ok
19;learn-co-students/plotting-data-lab-data-science-alpha;1 ok
20;learn-co-students/plotting-data-lab-data-science-intro-000;1 ok
21;learn-co-students/plotting-data-lab-data-science-pilot;1  ok
22;learn-co-students/plotting-data-lab-demo-machine-learning;1 ok
23;learn-co-students/calculating-distance-lab-data-science-pilot-test;Username
24;learn-co-students/plotting-data-readme-data-science;1 ok
25;learn-co-students/calculating-distance-lab-data-science-alpha;1 ok
26;learn-co-curriculum/visualizing-in-python;1 ok
27;knf-us/pidays-2017-plotting-workshop;Username
28;kojoidrissa/owwc;No tests found 
29;koldunovn/AWI2;1 failure. SyntaxError
30;krisrogers/scraping;Build failed. Exit status 1: Failed building wheels 
31;kristianperkins/nbrequests;1 ok
32;krzdur/cdr;1 ok
33;kulla/mfnf-statistic-20171007;1 failure. ZeroDivisionError
34;kure-kosen/deep-learning-practice;Build failed. Exit status 1:  Running setup.py install for pyzmq
35;kwangchih/first_neural_network;Build failed. Failed building wheels 
36;kylehounslow/jupyter-notebooks;Build failed. Failed building wheels 
37;l1th1um/workshop-ml-lipi-2017;Build failed. Exit status 1: ModuleNotFoundError 
38;ladisk/pyTrigger;1 ok 
39;lalwanigunjan/AdsTeam6Presentation;Build failed. Failed building wheels 
40;landre5/first-neural-network;Build failed. Exit status 1
41;lbzqwe/binder;1 failure. AttributeError
42;learn-co-curriculum/calculating-distance-lab;1 ok
43;learn-co-curriculum/conditionals-python-readme;1 ok
44;learn-co-curriculum/map-readme-python;1 ok
45;learn-co-curriculum/plotting-data-readme;1 ok
46;learn-co-curriculum/python-variables-lab;1 ok
47;learn-co-curriculum/python-visualizing-with-collections;1 ok
48;learn-co-students/calculating-distance-lab-data-science;1 ok
49;learn-co-students/plotting-data-readme-data-science-alpha;1 ok 
50;learn-co-students/plotting-data-readme-data-science-intro-000;1 ok
51;learn-co-students/plotting-data-readme-data-science-pilot;1 ok
52;luhego/udacity-aind-sudoku-solver;1 ok 
53;lukhar/machine-learning-a-probabilistic-perspective;Username
54;luqmanhakim/first-neural-network;Build failed. Failed building wheels 
55;lyzs90/booking-validation;1 ok 
56;madhug/bike-sharing;No URL found for submodule
57;madhujahagirdar/your-first-neural-network;Build failed. Exit status 1
58;madhur-taneja/First-Neural-Network;Username
59;maeehart/AutotalliSpyder;Username
60;marceljm/first-neural-network;Build failed. Exit status 1
61;marcellobenigno/webmapping;Build failed. Exit status 1
62;marcinbielecki/Advanced-Macroeconomics-in-Python;Username
63;marcosflp/crypto;Aborted (core dumped)
64;markusbuchholz/DLND-P1-Bike-Sharing-First-Neural-Network;Build failed. Exit status 1
65;marmaladebacon/aind-nlp ;2 failures. Attribute and syntax 
66;martako/AI-SVM-classifier;Build failed. Exit status 1 
67;martinkersner/ann-meetup;1 failure. Module 
68;martinkersner/meta-learning-meetup;1 ok
69;martinwxi/First-Neural-Network;Build failed. Exit status 1 
70;mashabow/font-pen-samples;1 ok
71;matthiaskoenig/libsbgn-python;1 ok 
72;matthiaskoenig/sbml-merge;1 ok 
73;ltpitt/python-jupyter-deep-learning-neural-network;Build failed. Failed building wheels 
74;ltiao/recomposed;1 ok
75;lperozzi/SGeMS_utils;1 ok
76;losc-tutorial/quickview;1 ok
77;learn-co-students/plotting-data-readme-demo-machine-learning;1 ok
78;learn-co-students/python-variables-lab-data-science;1 ok
79;learn-co-students/python-variables-lab-data-science-alpha;1 ok
80;learn-co-students/python-variables-lab-data-science-intro-000;1 ok
81;learn-co-students/python-variables-lab-data-science-pilot;1 ok
82;learn-co-students/python-variables-lab-demo-machine-learning;1 ok
83;learn-co-students/visualizing-in-python-data-science;1 ok
84;learn-co-students/visualizing-in-python-data-science-pilot;1 ok
85;learn-co-students/visualizing-in-python-data-science-pilot-test;Username
86;learn-co-students/visualizing-in-python-ds-test-lights;Username
87;kmpopova/udacity-dlnd-june-2017;Build failed. Failed building wheels 
88;learn-co-students/visualizing-in-python-ds-test-nikhil-steven;Username
89;learn-co-students/visualizing-in-python-nikhil-test-ds;Username
90;leephillips/JupyterExperiments;1 ok
91;lemoinef/dlnd_embedding_word2vec;Build failed. Version requirement not satisfied, requirement not satisfied 
92;leo-gan/PyTorch-SungKim;1 ok 
93;lfedeli/Training-RNN-by-diffusion;1 failure. AttributeError
94;ling592b/class_1-2;Build failed. Failed building wheels 
95;litopia/dlnd-first-neural-network;Build failed. Failed building wheels 
96;littlepea/python-admin-business-logic-talk;1 failure. SyntaxError
97;liuzqt/ubuntu_dialog_corpus;Build failed. Exit status 1
98;lmarkely/bike_sharing;Build failed. Failed building wheels 
99;learn-co-students/visualizing-in-python-nikhil-data-science-test;Username
100;kjschiroo/mlip;Build failed. Failed building wheels 
101;kintzhao/bike-sharing;Build failed. Failed building wheels 
102;keldLundgaard/Polarizing_movies;1 ok 
103;hoppm/data-visualization;1 fail, 1 ok. FileNotFound
104;howl-anderson/binder_tester;1 failure. AttributeError
105;hoyasam/DLnano_introTF;Username
106;hoyasam/bike_sharing_nn;Username
;;
;;
;;
;;
;;
